dataset,k_name,k,n,L,linear_regret,linear_regret_per_k
NeurIPS,k10pct,403,4034,15.372099447514096,0.43874701530768334,0.0010887022712349462
NeurIPS,k33pct,1345,4034,1.2853139770103166,64.3539904923415,0.047846833079807805
NeurIPS,k33pct,1345,4034,1.4946321315695348,58.99589858577792,0.043863121625113695
NeurIPS,k33pct,1345,4034,1.7380385249651422,53.09526321765418,0.03947603213208489
NeurIPS,k33pct,1345,4034,2.021084553488653,46.81070207165419,0.03480349596405516
NeurIPS,k33pct,1345,4034,2.3502256789344482,40.39618056327424,0.030034334991281966
NeurIPS,k33pct,1345,4034,2.7329686590244373,33.796632752522555,0.02512760799444056
NeurIPS,k33pct,1345,4034,3.178042754854163,27.7615204192208,0.020640535627673456
NeurIPS,k33pct,1345,4034,3.672325648600905,22.690889123610418,0.01687054953428284
NeurIPS,k33pct,1345,4034,3.695598820107337,22.458865922784412,0.016698041578278373
NeurIPS,k33pct,1345,4034,4.0299370822699725,19.362860777729452,0.01439617901689922
NeurIPS,k33pct,1345,4034,4.297440812688333,17.742787848546527,0.013191663827915633
NeurIPS,k33pct,1345,4034,4.997295008883826,14.12404251702003,0.010501146852802996
NeurIPS,k33pct,1345,4034,5.811123060050471,10.812497103659439,0.008039031303836014
NeurIPS,k33pct,1345,4034,6.757486031746776,8.283557816902544,0.006158779046024196
NeurIPS,k33pct,1345,4034,7.857967727989606,6.589397198183406,0.004899180072998815
NeurIPS,k33pct,1345,4034,9.137666955437963,5.257488731864669,0.003908913555289717
NeurIPS,k33pct,1345,4034,10.530538922154904,4.499091971363669,0.0033450497928354415
NeurIPS,k33pct,1345,4034,10.625769954627296,4.451400136439929,0.003309591179509241
NeurIPS,k33pct,1345,4034,12.356216053756212,3.584790297593827,0.0026652715967240346
NeurIPS,k33pct,1345,4034,14.368471726664433,2.656275981733984,0.0019749263804713633
NeurIPS,k33pct,1345,4034,16.7084307090272,1.5949245831508279,0.001185817533941136
NeurIPS,k33pct,1345,4034,19.429460701814772,0.8052328463528511,0.0005986861311173614
NeurIPS,k33pct,1345,4034,22.59362053429754,0.21319834587222886,0.00015851178131764227
NeurIPS,k33pct,1345,4034,26.273075546566858,0.20365040661806688,0.0001514129417234698
NeurIPS,k33pct,1345,4034,30.55174347235581,0.19254754999712986,0.000143158029737643
NeurIPS,k33pct,1345,4034,35.5272083599899,0.17963655194182593,0.0001335587746779375
NeurIPS,k33pct,1345,4034,41.312946182472345,0.16462294990378723,0.00012239624528162619
NeurIPS,k33pct,1345,4034,48.04091289643737,0.147164327016867,0.00010941585651811672
NeurIPS,k33pct,1345,4034,55.86455397611553,0.1268625025544452,9.432156323750573e-05
NeurIPS,k33pct,1345,4034,64.96230406108211,0.1032544505817441,7.676910823921494e-05
NeurIPS,k33pct,1345,4034,75.54165653463836,0.07728177015553683,5.745856517140285e-05
NeurIPS,k33pct,1345,4034,87.84389584814568,0.04799072417119987,3.568083581501849e-05
NeurIPS,k33pct,1345,4034,98.81087997787229,0.021878857195474666,1.6266808323772984e-05
NeurIPS,k33pct,1345,4034,102.14960052195269,0.01392952256674107,1.0356522354454327e-05
NeurIPS,k33pct,1345,4034,118.78504233046023,1.1368683772161603e-13,8.452552990454723e-17
NeurIPS,k33pct,1345,4034,138.12962761823928,-1.1368683772161603e-13,-8.452552990454723e-17
NeurIPS,k33pct,1345,4034,160.62455046211483,0.0,0.0
NeurIPS,k33pct,1345,4034,186.78285503283064,-1.1368683772161603e-13,-8.452552990454723e-17
NeurIPS,k33pct,1345,4034,187.09122103358968,-1.1368683772161603e-13,-8.452552990454723e-17
NeurIPS,k33pct,1345,4034,217.2011366496813,3.410605131648481e-13,2.535765897136417e-16
NeurIPS,k33pct,1345,4034,252.57314839534607,-1.1368683772161603e-13,-8.452552990454723e-17
NeurIPS,k50pct,2017,4034,1.066636105324106,77.42580545229748,0.03838661648601759
NeurIPS,k50pct,2017,4034,1.3313947625583815,70.34650972485224,0.03487680204504325
NeurIPS,k50pct,2017,4034,1.66187137761408,61.6321219676845,0.030556332160478185
NeurIPS,k50pct,2017,4034,2.074378353739254,51.299011779951115,0.025433322647472046
NeurIPS,k50pct,2017,4034,2.5892771320484416,40.53227836405745,0.020095328886493527
NeurIPS,k50pct,2017,4034,3.0475317294974458,33.175236565820114,0.016447811881913788
NeurIPS,k50pct,2017,4034,3.231983237032818,30.450010546195927,0.01509668346365688
NeurIPS,k50pct,2017,4034,3.7746710562138936,24.512937217722538,0.012153166691979444
NeurIPS,k50pct,2017,4034,4.034220792811493,22.183634636729266,0.010998331500609453
NeurIPS,k50pct,2017,4034,5.035588433340422,15.164806437494008,0.007518496002723851
NeurIPS,k50pct,2017,4034,6.285513900274199,10.52282429634397,0.005217067078008909
