dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
NeurIPS,k50pct,k,linear,212,0,2017,1.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.1110835674544724,0.9997521070902516,0,0,0,0
NeurIPS,k50pct,k,softmax,212,0,2017,1.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.10093333333333353,0.9084000000000018,800,2,10000,3
NeurIPS,k50pct,k+1,linear,1564,0,2017,1.0,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5277777777777778,0.02777777777777779,0.08331267559089571,0.7498140803180618,0,0,0,0
NeurIPS,k50pct,k+1,softmax,1564,0,2017,1.0,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5277777777777778,0.02777777777777779,0.07713333333339352,0.694200000000542,800,2,10000,3
ICLR,k10pct,k,linear,1511,0,371,0.2,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333333,0.022222222222222254,0.013329738474011792,0.1199676462661062,0,0,0,0
ICLR,k10pct,k,softmax,1511,0,371,0.2,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333333,0.022222222222222254,0.003600000000000043,0.0324000000000004,800,2,10000,3
ICLR,k10pct,k+1,linear,2251,0,371,0.2,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333334,0.022222222222222365,0.013329738474011792,0.1199676462661062,0,0,0,0
ICLR,k10pct,k+1,softmax,2251,0,371,0.2,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333334,0.022222222222222365,0.004000000000019321,0.036000000000173914,800,2,10000,3
ICLR,k10pct,k,linear,1511,0,371,0.4,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333333,0.022222222222222254,0.02665941832025248,0.23993476488227247,0,0,0,0
ICLR,k10pct,k,softmax,1511,0,371,0.4,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.008200000000019214,0.07380000000017298,800,2,10000,3
ICLR,k10pct,k+1,linear,2251,0,371,0.4,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333334,0.022222222222222365,0.026659418320252534,0.23993476488227294,0,0,0,0
ICLR,k10pct,k+1,softmax,2251,0,371,0.4,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333334,0.022222222222222365,0.007599999999999972,0.0683999999999998,800,2,10000,3
ICLR,k10pct,k,linear,1511,0,371,0.6,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.03998871331827156,0.3598984198644442,0,0,0,0
ICLR,k10pct,k,softmax,1511,0,371,0.6,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.01273333333333331,0.11459999999999985,800,2,10000,3
ICLR,k10pct,k+1,linear,2251,0,371,0.6,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.03998871331827156,0.3598984198644442,0,0,0,0
ICLR,k10pct,k+1,softmax,2251,0,371,0.6,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.012666666666666763,0.11400000000000093,800,2,10000,3
ICLR,k10pct,k,linear,1511,0,371,0.8,0.1111111111111111,0.11111111111111105,0.711111111111111,0.7333333333333333,0.022222222222222254,0.05331750741845055,0.47985756676605523,0,0,0,0
ICLR,k10pct,k,softmax,1511,0,371,0.8,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.01813333333333342,0.16320000000000087,800,2,10000,3
ICLR,k10pct,k+1,linear,2251,0,371,0.8,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.05331750741841804,0.47985756676576263,0,0,0,0
ICLR,k10pct,k+1,softmax,2251,0,371,0.8,0.1111111111111111,0.11111111111111105,0.711111111111111,0.6888888888888889,0.022222222222222143,0.017733333333333313,0.1595999999999999,800,2,10000,3
