k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,5,5,2,200,5,20,1.0,0.2,3.2476219262331387,4.870249524641883,0.16238109631165693,0.24351247623209415
k10pct,5,5,2,200,5,20,2.0,0.4,2.3071900961457033,4.25208143448393,0.11535950480728516,0.21260407172419651
k10pct,5,5,3,200,5,20,1.0,0.2,3.1778495114467145,4.739295045704287,0.1588924755723357,0.23696475228521435
k10pct,5,5,3,200,5,20,2.0,0.4,2.1950751930025927,4.1526201143149795,0.10975375965012964,0.20763100571574897
k10pct,5,5,4,200,5,20,1.0,0.2,2.931351953990518,4.301685824707615,0.1465675976995259,0.21508429123538075
k10pct,5,5,4,200,5,20,2.0,0.4,2.043592912143419,3.7740915726696684,0.10217964560717094,0.18870457863348342
k10pct,5,5,5,200,5,20,1.0,0.2,2.948556752042606,4.504127990091147,0.1474278376021303,0.22520639950455737
k10pct,5,5,5,200,5,20,2.0,0.4,1.9993491776022125,3.934053399275351,0.09996745888011063,0.19670266996376756
k10pct,5,5,6,200,5,20,1.0,0.2,2.9507195995682878,4.34566229117805,0.1475359799784144,0.21728311455890248
k10pct,5,5,6,200,5,20,2.0,0.4,2.0797208374280025,3.8184327534636697,0.10398604187140012,0.1909216376731835
k10pct,5,5,7,200,5,20,1.0,0.2,2.745709277975168,4.163315379925413,0.1372854638987584,0.20816576899627065
k10pct,5,5,7,200,5,20,2.0,0.4,1.9463698225644972,3.659947839233217,0.09731849112822485,0.18299739196166084
k10pct,5,5,8,200,5,20,1.0,0.2,3.1439286576907257,4.7678412466800335,0.15719643288453627,0.23839206233400168
k10pct,5,5,8,200,5,20,2.0,0.4,2.153086216907351,4.147157455365496,0.10765431084536754,0.20735787276827483
k10pct,5,5,9,200,5,20,1.0,0.2,3.016361673409996,4.478227467097129,0.15081808367049981,0.22391137335485647
k10pct,5,5,9,200,5,20,2.0,0.4,2.1681435656939687,3.9309790321629787,0.10840717828469844,0.19654895160814895
k10pct,5,5,10,200,5,20,1.0,0.2,3.0891111257696355,4.492771848131989,0.1544555562884818,0.22463859240659945
k10pct,5,5,10,200,5,20,2.0,0.4,2.131200355549442,3.9680973435487576,0.10656001777747211,0.19840486717743788
k10pct,5,5,11,200,5,20,1.0,0.2,3.1024048046869677,4.527739317236856,0.1551202402343484,0.2263869658618428
k10pct,5,5,11,200,5,20,2.0,0.4,2.1638591238556035,3.9830535086755106,0.10819295619278017,0.19915267543377552
k10pct,5,5,12,200,5,20,1.0,0.2,2.9934346837943693,4.4467329275810314,0.14967173418971846,0.22233664637905157
