dataset,k_name,L,mechanism,local_smoothness,l1_prob_change,utility_delta_abs,k,ratio_to_L
NeurIPS,k33pct,1.0,linear,0.599851227374419,0.06665013637493547,0.022222222222222254,1345,0.599851227374419
NeurIPS,k33pct,1.0,softmax,0.4727999999999952,0.0525333333333328,0.022222222222222254,1345,0.4727999999999952
NeurIPS,k50pct,0.2,linear,0.19995042141637417,0.02221671349070825,0.03703703703703709,2017,0.9997521070818708
NeurIPS,k50pct,0.2,softmax,0.19680000000064216,0.021866666666738015,0.03703703703703709,2017,0.9840000000032108
NeurIPS,k50pct,0.4,linear,0.3999008428371225,0.0444334269819025,0.03703703703703709,2017,0.9997521070928063
NeurIPS,k50pct,0.4,softmax,0.3504000000012206,0.038933333333468954,0.03703703703703709,2017,0.8760000000030516
NeurIPS,k50pct,0.6,linear,0.5998512642547773,0.06665014047275303,0.03703703703703709,2017,0.9997521070912956
NeurIPS,k50pct,0.6,softmax,0.5508000000000051,0.06120000000000059,0.03703703703703709,2017,0.9180000000000085
NeurIPS,k50pct,0.8,linear,0.799801685672293,0.08886685396358815,0.03703703703703709,2017,0.9997521070903662
NeurIPS,k50pct,0.8,softmax,0.7961999999999989,0.08846666666666658,0.03703703703703709,2017,0.9952499999999986
NeurIPS,k50pct,1.0,linear,0.9997521070902516,0.1110835674544724,0.03703703703703709,2017,0.9997521070902516
NeurIPS,k50pct,1.0,softmax,0.9084000000000018,0.10093333333333353,0.03703703703703709,2017,0.9084000000000018
Swiss NSF,k10pct,0.2,linear,0.14235764235766277,0.028471528471532545,0.02857142857142858,35,0.7117882117883138
Swiss NSF,k10pct,0.2,softmax,0.04399999999999986,0.00879999999999997,0.02857142857142858,35,0.21999999999999928
Swiss NSF,k10pct,0.4,linear,0.28426395939088533,0.05685279187817705,0.02857142857142858,35,0.7106598984772133
Swiss NSF,k10pct,0.4,softmax,0.12533333333333357,0.02506666666666671,0.02857142857142858,35,0.3133333333333339
Swiss NSF,k10pct,0.6,linear,0.42577030812328664,0.08515406162465732,0.02857142857142858,35,0.7096171802054778
Swiss NSF,k10pct,0.6,softmax,0.19933333333333428,0.03986666666666685,0.02857142857142858,35,0.3322222222222238
Swiss NSF,k10pct,0.8,linear,0.5669988925803204,0.11339977851606406,0.02857142857142858,35,0.7087486157254005
Swiss NSF,k10pct,0.8,softmax,0.31166666666668963,0.06233333333333791,0.02857142857142858,35,0.38958333333336204
Swiss NSF,k10pct,1.0,linear,0.7080200501253042,0.14160401002506082,0.02857142857142858,35,0.7080200501253042
Swiss NSF,k10pct,1.0,softmax,0.42400000000000077,0.08480000000000014,0.02857142857142858,35,0.42400000000000077
Swiss NSF,k33pct,0.2,linear,0.12464589235126568,0.02492917847025313,0.025000000000000022,118,0.6232294617563283
Swiss NSF,k33pct,0.2,softmax,0.09600000000000042,0.019200000000000078,0.025000000000000022,118,0.4800000000000021
Swiss NSF,k33pct,0.4,linear,0.24922839506180666,0.049845679012361324,0.025000000000000022,118,0.6230709876545166
Swiss NSF,k33pct,0.4,softmax,0.21700000000002445,0.04340000000000488,0.025000000000000022,118,0.542500000000061
Swiss NSF,k33pct,0.6,linear,0.37375000000002684,0.07475000000000535,0.025000000000000022,118,0.6229166666667114
Swiss NSF,k33pct,0.6,softmax,0.3299999999999914,0.06599999999999827,0.025000000000000022,118,0.5499999999999857
Swiss NSF,k33pct,0.8,linear,0.49788135593229527,0.09957627118645904,0.025000000000000022,118,0.622351694915369
Swiss NSF,k33pct,0.8,softmax,0.4419999999999717,0.08839999999999432,0.025000000000000022,118,0.5524999999999646
Swiss NSF,k33pct,1.0,linear,0.6218905472636912,0.12437810945273822,0.025000000000000022,118,0.6218905472636912
Swiss NSF,k33pct,1.0,softmax,0.5620000000000216,0.11240000000000429,0.025000000000000022,118,0.5620000000000216
Swiss NSF,k50pct,0.2,linear,0.1246458923513535,0.024929178470270708,0.025000000000000022,176,0.6232294617567674
Swiss NSF,k50pct,0.2,softmax,0.12499999999999888,0.024999999999999783,0.025000000000000022,176,0.6249999999999943
Swiss NSF,k50pct,0.4,linear,0.24928160919544534,0.04985632183908907,0.02499999999999991,176,0.6232040229886133
Swiss NSF,k50pct,0.4,softmax,0.23233333333333595,0.046466666666667204,0.025000000000000022,176,0.5808333333333399
Swiss NSF,k50pct,0.6,linear,0.3737704918033408,0.07475409836066817,0.02499999999999991,176,0.6229508196722348
Swiss NSF,k50pct,0.6,softmax,0.33900000000000435,0.06780000000000087,0.02499999999999991,176,0.5650000000000073
Swiss NSF,k50pct,0.8,linear,0.4981617647059421,0.09963235294118845,0.025000000000000022,176,0.6227022058824275
Swiss NSF,k50pct,0.8,softmax,0.4759999999999962,0.09519999999999927,0.025000000000000022,176,0.5949999999999952
Swiss NSF,k50pct,1.0,linear,0.6221749132933507,0.12443498265867019,0.025000000000000022,176,0.6221749132933507
Swiss NSF,k50pct,1.0,softmax,0.5703333333333338,0.1140666666666668,0.025000000000000022,176,0.5703333333333338
